"","VTID","Positive","stg4_6","stg7_8","stg9_10","stg11_12","stg13_14","stg15_16"
"144","VT0849",1,0,0,0,0,0,1
"145","VT0850",1,1,1,1,1,0,0
"146","VT0851",0,0,0,0,0,0,0
"147","VT0868",0,0,0,0,0,0,0
"148","VT0869",0,0,0,0,0,0,0
"149","VT0870",0,0,0,0,0,0,0
"150","VT0871",1,0,1,1,1,1,1
"151","VT0872",1,0,1,1,1,1,0
"152","VT0874",1,0,1,1,0,1,1
"153","VT0875",1,0,0,0,0,0,1
"154","VT0876",0,0,0,0,0,0,0
"155","VT0877",1,0,0,1,1,1,0
"156","VT0921",1,0,0,0,0,1,1
"157","VT0922",1,1,1,1,1,1,0
"158","VT0923",1,0,0,0,1,1,1
"159","VT0925",1,0,0,0,0,1,1
"160","VT0926",1,0,0,0,0,1,1
"161","VT0927",0,0,0,0,0,0,0
"162","VT0930",1,0,0,0,0,0,1
"163","VT0983",1,1,1,1,1,1,1
"164","VT0984",1,1,1,1,1,1,1
"165","VT0985",1,1,1,1,1,1,1
"166","VT10000",0,0,0,0,0,0,0
"167","VT10001",0,0,0,0,0,0,0
"168","VT10045",0,0,0,0,0,0,0
"169","VT10053",0,0,0,0,0,0,0
"170","VT10054",0,0,0,0,0,0,0
"171","VT10055",1,0,0,0,0,0,1
"172","VT10060",0,0,0,0,0,0,1
"173","VT10062",1,0,0,0,0,1,1
"174","VT10063",1,0,0,0,0,1,1
"175","VT10064",1,0,0,0,0,1,1
"176","VT10065",1,0,1,1,1,1,1
"177","VT10081",0,0,0,0,0,0,0
"178","VT10116",1,1,0,0,1,1,1
"179","VT10117",1,0,0,0,1,1,1
"180","VT10135",1,1,0,1,1,1,1
"181","VT10136",0,0,0,0,0,0,0
"182","VT10251",0,0,0,0,0,0,0
"183","VT10252",1,0,0,1,1,1,0
"184","VT10253",0,0,0,0,0,0,0
"185","VT10254",0,0,0,0,0,0,0
"186","VT10255",0,0,0,0,0,0,0
"187","VT10256",0,0,0,0,0,0,1
"188","VT10257",0,0,0,0,0,0,0
"189","VT10258",0,0,0,0,0,0,0
"190","VT10260",0,0,0,0,0,0,0
"191","VT10261",0,0,0,0,0,0,0
"192","VT10262",0,0,0,0,0,0,0
"193","VT10263",0,0,0,0,0,0,0
"194","VT10264",0,0,0,0,0,0,0
"195","VT10265",0,0,0,0,0,0,0
"196","VT10267",0,0,0,0,0,0,0
"197","VT10275",0,0,0,0,0,0,0
"198","VT10276",1,0,0,0,0,1,1
"199","VT10279",1,0,0,0,0,1,0
"200","VT10281",1,0,0,0,1,1,1
"201","VT10552",0,0,0,0,0,0,0
"202","VT10554",0,0,0,0,0,0,0
"203","VT10555",1,0,0,0,1,1,1
"204","VT10556",1,0,0,0,1,1,1
"205","VT10557",1,0,1,0,0,0,0
"206","VT10558",0,0,0,0,0,0,0
"207","VT10559",0,0,0,0,0,0,0
"208","VT10562",1,0,0,0,1,0,0
"209","VT10563",0,0,0,0,0,0,0
"210","VT10564",0,0,0,0,0,0,0
"211","VT10565",0,0,0,0,0,0,0
"212","VT10567",0,0,0,0,0,0,0
"213","VT10568",0,0,0,0,0,0,0
"214","VT10572",1,0,0,0,1,1,1
"215","VT10589",1,1,1,1,1,1,1
"216","VT10591",0,0,0,0,0,0,0
"217","VT10592",1,0,0,0,0,1,1
"218","VT10593",1,0,0,0,1,1,1
"219","VT10595",1,0,1,1,1,1,1
"220","VT10596",1,0,0,0,0,1,1
"221","VT10597",1,0,1,1,1,1,1
"222","VT10598",0,0,0,0,0,0,0
"223","VT10600",0,0,0,0,0,0,0
"224","VT10661",0,0,0,0,0,0,0
"225","VT10662",0,0,0,0,0,0,0
"226","VT10664",1,1,1,0,0,1,1
"227","VT10665",0,0,0,0,0,0,0
"228","VT10666",0,0,0,0,0,0,0
"229","VT10667",0,0,0,0,0,0,0
"230","VT10668",0,0,0,0,0,0,0
"231","VT10669",1,0,0,0,1,1,1
"232","VT10670",1,1,1,1,1,1,1
"233","VT10671",0,0,0,0,0,0,0
"234","VT10685",0,0,0,0,0,0,0
"235","VT10695",1,1,1,1,0,0,0
"236","VT10696",1,1,1,1,1,1,1
"237","VT10752",0,0,0,0,0,0,0
"238","VT10754",0,0,0,0,0,0,0
"239","VT10755",0,0,0,0,0,0,0
"240","VT10756",0,0,0,0,0,0,0
"241","VT10788",0,0,0,0,0,0,0
"242","VT10790",0,0,0,0,0,0,0
"243","VT10791",0,0,0,0,0,0,0
"244","VT10792",0,0,0,0,0,0,0
"245","VT1082",1,0,1,1,1,1,1
"246","VT1083",1,1,1,1,1,1,1
"247","VT1085",1,0,0,1,1,1,1
"248","VT10855",0,0,0,0,0,0,0
"249","VT10857",0,0,0,0,0,0,0
"250","VT10858",1,0,0,0,0,1,1
"251","VT10859",1,0,0,0,0,1,1
"252","VT1086",0,0,0,0,0,0,0
"253","VT10860",0,0,0,0,0,0,0
"254","VT10861",0,0,0,0,0,0,0
"255","VT10862",0,0,0,0,0,0,0
"256","VT10865",0,0,0,0,0,0,0
"257","VT1090",1,0,0,0,0,1,1
"258","VT10908",0,0,0,0,0,0,0
"259","VT10909",0,0,0,0,0,0,0
"260","VT1091",0,0,0,0,0,0,0
"261","VT10915",0,0,0,0,1,0,0
"262","VT10916",0,0,0,0,0,0,0
